right_team,left_team,cycle,mode,ball_x,ball_y,right_team_score,opp_player_0_unum,opp_player_0_x,opp_player_0_y,opp_player_0_kick,opp_player_0_shoot,opp_player_1_unum,opp_player_1_x,opp_player_1_y,opp_player_1_kick,opp_player_1_shoot,opp_player_2_unum,opp_player_2_x,opp_player_2_y,opp_player_2_kick,opp_player_2_shoot,opp_player_3_unum,opp_player_3_x,opp_player_3_y,opp_player_3_kick,opp_player_3_shoot,opp_player_4_unum,opp_player_4_x,opp_player_4_y,opp_player_4_kick,opp_player_4_shoot,opp_player_5_unum,opp_player_5_x,opp_player_5_y,opp_player_5_kick,opp_player_5_shoot
RoboCIn,ma,4392,kick_in_r,-15.3049,34.0,1,4,-15.5788,34.8606,0,0,2,-3.6833,22.4215,0,0,6,-13.0431,14.5852,0,0,7,-23.3497,13.7604,0,0,11,-32.771,11.8772,0,0,9,-32.5792,7.1593,0,0
RoboCIn,ma,4393,kick_in_r,-15.3049,34.0,1,4,-15.4863,35.1345,0,0,2,-4.4326,23.0501,0,0,6,-13.6212,15.3161,0,0,7,-23.1611,14.5282,0,0,11,-33.5296,12.4927,0,0,9,-32.9589,8.0121,0,0
RoboCIn,ma,4394,kick_in_r,-15.3049,34.0,1,4,-15.4508,35.24,0,0,2,-5.178,23.6844,0,0,6,-14.246,16.0747,0,0,7,-22.9738,15.304,0,0,11,-34.2975,13.1237,0,0,9,-33.3285,8.8647,0,0
RoboCIn,ma,4395,kick_in_r,-15.3049,34.0,1,4,-15.4365,35.2846,0,0,2,-5.9286,24.3216,0,0,6,-14.8414,16.7881,0,0,7,-22.8555,16.1179,0,0,11,-35.0892,13.747,0,0,9,-33.6991,9.7144,0,0
RoboCIn,ma,4396,kick_in_r,-15.3049,34.0,1,4,-15.4219,35.1172,0,0,2,-6.6985,24.9152,0,0,6,-15.4,17.4086,0,0,7,-22.7115,16.8764,0,0,11,-35.413,14.0083,0,0,9,-34.1202,10.6072,0,0
RoboCIn,ma,4397,kick_in_r,-15.3049,34.0,1,4,-15.3992,34.8473,0,0,2,-7.0407,25.1548,0,0,6,-15.9289,18.099,0,0,7,-22.5279,17.6712,0,0,11,-35.5585,14.1248,0,0,9,-34.4922,11.4318,0,0
RoboCIn,ma,4398,kick_in_r,-15.3049,34.0,1,4,-15.3867,34.7381,0,0,2,-7.4696,25.7096,0,0,6,-16.4909,18.7505,0,0,7,-22.3893,18.5132,0,0,11,-35.6236,14.1784,0,0,9,-34.8068,12.2368,0,0
RoboCIn,ma,4399,kick_in_r,-15.3049,34.0,1,4,-15.3484,34.5085,0,0,2,-7.8987,26.5243,0,0,6,-17.038,19.4303,0,0,7,-22.2532,19.2688,0,0,11,-35.6517,14.2033,0,0,9,-35.1592,13.0683,0,0
RoboCIn,ma,4400,kick_in_r,-15.3049,34.0,1,4,-15.2724,34.3836,1,0,2,-8.3943,27.412,0,0,6,-17.248,19.691,0,0,7,-22.21,19.5288,0,0,11,-35.7268,14.3201,0,0,9,-35.4204,13.8042,0,0
RoboCIn,ma,4401,play_on,-16.1127,31.5735,1,4,-15.2749,34.3938,0,0,2,-8.7326,28.0009,0,0,6,-17.7698,20.0944,0,0,7,-22.1944,19.6196,0,0,11,-35.7262,14.3195,0,0,9,-35.4087,13.7702,0,0
RoboCIn,ma,4402,play_on,-16.8883,29.2932,1,4,-15.2759,34.3977,0,0,2,-8.8823,28.2516,0,0,6,-18.1772,20.701,0,0,7,-21.8483,19.9141,0,0,11,-35.726,14.3193,0,0,9,-35.4036,13.7561,0,0
RoboCIn,ma,4403,play_on,-17.5605,27.2164,1,6,-18.52,21.3277,0,0,4,-14.898,34.1447,0,0,7,-21.3638,20.2564,0,0,2,-8.9594,28.3641,0,0,11,-35.1818,14.4221,0,0,9,-34.8054,13.8342,0,0
RoboCIn,ma,4404,play_on,-18.2593,25.3138,1,6,-18.723,21.9504,0,0,7,-20.8637,20.6305,0,0,4,-14.4147,33.7951,0,0,2,-8.6026,28.0304,0,0,11,-34.3312,14.6185,0,0,9,-34.0194,13.9514,0,0
RoboCIn,ma,4405,play_on,-18.9137,23.5312,1,6,-19.0183,22.5409,1,0,7,-20.3289,21.0325,0,0,4,-13.9036,33.4175,0,0,2,-8.1282,27.5094,0,0,11,-33.3115,14.8632,0,0,9,-33.1497,14.0397,0,0
RoboCIn,ma,4406,play_on,-18.7397,23.0261,1,6,-19.1144,22.7689,0,0,7,-19.8178,21.4905,0,0,4,-13.3293,33.0695,0,0,2,-7.614,26.8395,0,0,11,-32.3141,15.0047,0,0,9,-32.3165,14.2225,0,0
RoboCIn,ma,4407,play_on,-18.5598,22.5472,1,6,-19.1512,22.8578,0,0,7,-19.6475,21.6606,0,0,4,-12.7877,32.7378,0,0,2,-7.0425,26.1888,0,0,11,-31.8686,15.0764,0,0,9,-32.0242,14.2906,0,0
RoboCIn,ma,4408,play_on,-18.3852,22.1013,1,6,-19.166,22.8911,0,0,7,-19.4963,21.7223,0,0,4,-12.2138,32.4293,0,0,2,-6.3605,25.4654,0,0,11,-31.6345,15.1002,0,0,9,-31.8765,14.3833,0,0
RoboCIn,ma,4409,play_on,-18.2331,21.6764,1,7,-18.9271,21.7208,1,0,6,-18.6995,22.5886,0,0,4,-11.7581,32.1696,0,0,2,-5.7047,24.7474,0,0,11,-31.4992,15.1217,0,0,9,-31.795,14.4883,0,0
RoboCIn,ma,4410,play_on,-18.084,21.1672,1,7,-18.7304,21.7154,0,0,6,-18.342,22.3253,0,0,4,-11.3923,31.927,0,0,2,-5.0956,24.096,0,0,11,-31.41,15.1386,0,0,9,-31.7326,14.5985,0,0
RoboCIn,ma,4411,play_on,-17.9419,20.6828,1,7,-18.6582,21.7144,0,0,6,-18.0262,22.0727,0,0,4,-11.0492,31.6838,0,0,2,-4.4494,23.4763,0,0,11,-31.3244,15.1688,0,0,9,-31.689,14.6923,0,0
RoboCIn,ma,4412,play_on,-17.8134,20.2299,1,7,-18.4879,21.2193,0,0,6,-17.8589,21.6034,0,0,4,-10.5214,31.3933,0,0,2,-3.734,22.7953,0,0,11,-31.2819,15.194,0,0,9,-31.6695,14.736,0,0
RoboCIn,ma,4413,play_on,-17.6863,19.7909,1,7,-18.3075,20.5119,1,0,6,-17.7379,21.0457,0,0,4,-9.9459,31.0581,0,0,11,-31.2403,15.2186,0,0,2,-3.0822,22.0925,0,0,9,-31.6516,14.7818,0,0
RoboCIn,ma,4414,play_on,-17.5631,19.1599,1,7,-18.199,20.1176,0,0,6,-17.6296,20.4786,0,0,11,-31.1965,15.2394,0,0,4,-9.3075,30.7188,0,0,9,-31.6343,14.8291,0,0,2,-2.7823,21.7758,0,0
RoboCIn,ma,4415,play_on,-17.45,18.5576,1,7,-18.0546,19.6257,0,0,6,-17.5364,19.9282,0,0,11,-31.1722,15.2611,0,0,4,-8.7348,30.3259,0,0,9,-31.6276,14.8705,0,0,2,-2.3937,21.1376,0,0
RoboCIn,ma,4416,play_on,-17.3444,17.9803,1,7,-17.9101,19.1508,0,0,6,-17.2639,19.723,0,0,11,-31.1225,15.2657,0,0,9,-31.6122,14.9189,0,0,4,-8.1755,29.9663,0,0,2,-1.9734,20.4292,0,0
RoboCIn,ma,4417,play_on,-17.2523,17.445,1,7,-17.7111,18.4818,0,0,6,-17.0946,19.5736,0,0,11,-31.0767,15.2671,0,0,9,-31.5982,14.9704,0,0,4,-7.5993,29.6274,0,0,2,-1.532,19.6815,0,0
RoboCIn,ma,4418,play_on,-17.1658,16.9472,1,7,-17.4949,17.7563,1,0,6,-16.9604,19.462,0,0,11,-31.0347,15.2662,0,0,9,-31.5854,15.0281,0,0,4,-7.1248,29.3729,0,0,2,-1.1458,18.8922,0,0
RoboCIn,ma,4419,play_on,-17.6947,16.6512,1,7,-17.4242,17.5109,0,0,6,-16.839,19.3639,0,0,11,-30.9945,15.2607,0,0,9,-31.5683,15.0854,0,0,10,-26.1975,2.4226,0,0,4,-6.634,29.0712,0,0
RoboCIn,ma,4420,play_on,-18.2103,16.3556,1,7,-17.4039,17.4217,0,0,6,-16.7318,19.261,0,0,11,-30.9562,15.2535,0,0,9,-31.5455,15.1403,0,0,10,-26.0433,2.4461,0,0,4,-6.2017,28.8129,0,0
RoboCIn,ma,4421,play_on,-18.695,16.0778,1,7,-17.8595,17.0835,0,0,6,-16.6228,19.17,0,0,11,-30.9226,15.2445,0,0,9,-31.5207,15.1977,0,0,10,-25.9698,2.4572,0,0,4,-5.8159,28.5638,0,0
RoboCIn,ma,4422,play_on,-19.1382,15.7945,1,7,-18.438,16.6918,0,0,6,-16.5058,19.0828,0,0,11,-30.8912,15.2332,0,0,9,-31.4906,15.2601,0,0,10,-26.2693,2.0777,0,0,8,-20.2831,-2.2337,0,0
RoboCIn,ma,4423,play_on,-19.5485,15.5267,1,7,-18.9248,16.1778,1,0,6,-16.4604,19.0497,0,0,11,-30.8674,15.2245,0,0,9,-31.46,15.323,0,0,10,-26.7245,1.5029,0,0,8,-20.2136,-2.3174,0,0
RoboCIn,ma,4424,play_on,-22.1815,15.3494,1,7,-19.1913,15.8725,0,0,6,-16.3942,18.9635,0,0,11,-30.8317,15.2087,0,0,9,-31.4103,15.4068,0,0,10,-26.9131,1.2282,0,0,8,-20.1879,-2.3493,0,0
RoboCIn,ma,4425,play_on,-24.6469,15.2876,1,7,-19.1854,15.878,0,0,11,-30.2874,14.9931,0,0,9,-31.0279,15.4276,0,0,6,-16.3708,18.929,0,0,10,-27.4989,1.052,0,0,8,-20.4016,-2.3965,0,0
RoboCIn,ma,4426,play_on,-27.0066,15.2278,1,11,-29.6068,14.9142,0,0,9,-30.5403,15.3993,0,0,7,-19.1833,15.8801,0,0,6,-16.3549,18.8288,0,0,10,-28.2867,0.9797,0,0,8,-20.9868,-2.5192,0,0
RoboCIn,ma,4427,play_on,-29.2611,15.2451,1,11,-28.9519,15.0156,0,0,9,-30.3456,15.3911,0,0,7,-19.6733,15.9635,0,0,6,-16.3365,18.6997,0,0,10,-29.1224,0.9269,0,0,8,-21.6916,-2.6747,0,0
RoboCIn,ma,4428,play_on,-29.0733,15.31,1,11,-28.9587,14.9424,1,0,9,-30.2818,15.4588,0,0,7,-19.8524,16.0038,0,0,6,-16.3129,18.5645,0,0,10,-30.0556,0.8886,0,0,8,-22.4666,-2.8214,0,0
RoboCIn,ma,4429,play_on,-29.2143,14.5021,1,11,-28.9574,14.9427,0,0,9,-30.2574,15.5524,0,0,7,-19.9119,16.0215,0,0,6,-16.2836,18.423,0,0,10,-30.6059,0.8227,0,0,8,-23.2989,-2.9271,0,0
RoboCIn,ma,4430,play_on,-29.371,13.7525,1,11,-28.9569,14.9429,0,0,9,-30.2546,15.6589,0,0,7,-19.9347,16.0277,0,0,10,-30.8566,0.5823,0,0,6,-16.2611,18.2822,0,0,8,-24.0558,-3.0131,0,0
RoboCIn,ma,4431,play_on,-29.5247,13.0733,1,11,-29.1243,14.3516,0,0,9,-30.2578,15.7647,0,0,7,-19.9423,16.0299,0,0,10,-30.9737,0.4703,0,0,6,-16.2403,18.1388,0,0,8,-24.8672,-3.0737,0,0
RoboCIn,ma,4432,play_on,-29.6633,12.4187,1,11,-29.3501,13.538,0,0,9,-30.2632,15.878,0,0,7,-20.3321,15.7449,0,0,10,-31.0296,0.4221,0,0,6,-16.2237,18.0055,0,0,8,-25.5047,-3.1835,0,0
RoboCIn,ma,4433,play_on,-29.8068,11.813,1,11,-29.627,12.6318,1,0,9,-30.2728,15.9921,0,0,7,-20.8106,15.3798,0,0,10,-31.0566,0.4009,0,0,6,-16.2011,17.8615,0,0,8,-25.7801,-3.5049,0,0
RoboCIn,ma,4434,play_on,-30.7606,11.3446,1,11,-29.7431,12.2245,0,0,9,-30.2733,16.112,0,0,7,-20.9819,15.2494,0,0,10,-31.07,0.3909,0,0,8,-25.8771,-3.6176,0,0,6,-16.187,17.7283,0,0
RoboCIn,ma,4435,play_on,-31.6735,10.9101,1,11,-29.7881,12.0563,0,0,9,-30.2753,16.1586,0,0,10,-31.3292,0.3973,0,0,7,-21.5142,15.1701,0,0,8,-25.9097,-3.6588,0,0,6,-16.1707,17.5927,0,0
